,SC-0-px,SC-0-py,SC-0-pz,SC-0-vx,SC-0-vy,SC-0-vz,SC-1-px,SC-1-py,SC-1-pz,SC-1-vx,SC-1-vy,SC-1-vz,SC-2-px,SC-2-py,SC-2-pz,SC-2-vx,SC-2-vy,SC-2-vz,SC-3-px,SC-3-py,SC-3-pz,SC-3-vx,SC-3-vy,SC-3-vz,SC-4-px,SC-4-py,SC-4-pz,SC-4-vx,SC-4-vy,SC-4-vz,SC-5-px,SC-5-py,SC-5-pz,SC-5-vx,SC-5-vy,SC-5-vz,SC-6-px,SC-6-py,SC-6-pz,SC-6-vx,SC-6-vy,SC-6-vz,SC-7-px,SC-7-py,SC-7-pz,SC-7-vx,SC-7-vy,SC-7-vz,SC-8-px,SC-8-py,SC-8-pz,SC-8-vx,SC-8-vy,SC-8-vz,SC-9-px,SC-9-py,SC-9-pz,SC-9-vx,SC-9-vy,SC-9-vz
0.0,887.82,399.89,396.14,0.18773,-1.9656,0.28848,251.38,874.34,218.98,0.74066,-0.55655,0.8103600000000001,-486.02,905.2,178.37,0.16374,1.0761,-0.7942,617.04,785.7,6.6693,-0.8217200000000001,-1.3661,-0.035916,-299.73,748.3,331.22,-0.033116,0.66361,-0.15994,-759.75,-579.63,24.85,0.46271,1.6821,0.046829,-72.467,618.51,-430.6,0.6660699999999999,0.16044,0.18589,-892.55,-809.35,450.6,0.23495,1.9761,0.41931999999999997,-434.56,847.46,331.87,-0.1749,0.9621299999999999,0.49375,238.72,-775.79,-667.99,0.5242899999999999,-0.52853,0.84173
1.0,887.5602,398.9069,396.4282,0.17671900000000001,-1.9657919999999998,0.28799440000000004,251.1472,874.0612,219.7902,0.7288650999999999,-0.5573541,0.8100916,-486.8648,905.7377,177.5757,0.1510362,1.075935,-0.7944175,615.3434,785.0165,6.6333850000000005,-0.8330664000000001,-1.365175,-0.03592301,-300.5977,748.6315,331.0599,-0.04559044,0.6636625,-0.1603457,-758.6527,-578.7883,24.89682,0.44967219999999997,1.681604,0.04679963,-72.49163,618.5899,-430.4139,0.6538765999999999,0.15971860000000002,0.18642,-891.4264,-808.3611,451.019,0.2217488,1.975856,0.41876729999999995,-435.6794,847.9407,332.3636,-0.18754089999999998,0.9623395,0.4933431,240.0972,-776.0538,-667.1478,0.5124825,-0.5290945,0.8425511999999998
2.0,887.7303,396.9412,396.7159,0.1635329,-1.9661650000000002,0.28750840000000005,251.8699,873.5031,220.6002,0.7164539000000001,-0.5589515,0.809822,-486.7195,906.8136,176.7811,0.1395234,1.075613,-0.7946342,614.5039,783.6523,6.597461,-0.845924,-1.363314,-0.03593015,-300.6492,749.2952,330.8993,-0.05733024,0.6637772,-0.16075129999999999,-758.2087,-577.107,24.94361,0.43849620000000006,1.680621,0.04677002,-71.84376,618.7489,-430.2272,0.6418604,0.1582858,0.1869497,-891.2102,-806.3852,451.4376,0.21073499999999998,1.975377,0.41821369999999997,-435.8728,848.9034,332.8568,-0.1991165,0.9627680000000001,0.4929354,240.6035,-776.5834,-666.3049,0.5000899999999999,-0.5302131,0.8433712
3.0,887.8872,394.9751,397.0032,0.15034660000000002,-1.966509,0.2870218,252.5801,872.9434,221.4098,0.7040419,-0.5605220000000001,0.8095512,-486.5857,907.8891,175.9863,0.1280106,1.075317,-0.7948501,613.6515,782.2901,6.561531,-0.8587806,-1.361425,-0.03593741,-300.7124,749.9591,330.7384,-0.06906988,0.6639174,-0.161157,-757.7758,-575.4267,24.990370000000002,0.4273197,1.679661,0.04674017,-71.20791,618.9065,-430.04,0.6298436,0.15687910000000002,0.1874789,-891.005,-804.4098,451.8556,0.199721,1.974921,0.4176595,-436.0777,849.8664,333.3496,-0.2106919,0.9632215000000001,0.49252700000000005,241.0973,-777.1141,-665.4611,0.4876969,-0.5313048,0.8441898999999999
4.0,888.031,393.0087,397.2899,0.1371602,-1.966825,0.2865348,253.278,872.3821,222.2192,0.6916291999999999,-0.5620655,0.8092793,-486.4635,908.9644,175.1913,0.11649769999999998,1.075046,-0.7950651999999999,612.7863,780.9297,6.525593,-0.8716360000000001,-1.359508,-0.03594482,-300.7873,750.6231,330.577,-0.08080936,0.6640831,-0.1615626,-757.354,-573.7473,25.0371,0.4161428,1.678727,0.04671009,-70.58407,619.0627,-429.8522,0.6178260999999999,0.15549860000000001,0.1880078,-890.8107,-802.4348,452.273,0.1887068,1.97449,0.41710459999999994,-436.2942,850.8299,333.8419,-0.2222669,0.9637003000000001,0.4921177,241.5788,-777.6459,-664.6166,0.47530320000000004,-0.5323694,0.8450075
5.0,888.1616,391.042,397.5762,0.1239737,-1.967111,0.2860472,253.9634,871.8193,223.0283,0.6792157,-0.5635818,0.8090062,-486.3527,910.0394,174.396,0.10498479999999999,1.0748,-0.7952795,611.9083,779.5713,6.489647,-0.8844902,-1.3575629999999999,-0.03595235,-300.874,751.2874,330.4152,-0.09254865,0.6642745,-0.1619683,-756.9435,-572.0689,25.0838,0.40496540000000003,1.677816,0.04667978,-69.97225999999999,619.2175,-429.664,0.6058079000000001,0.1541444,0.18853620000000001,-890.6275,-800.4602,452.6899,0.1776925,1.9740830000000003,0.41654890000000006,-436.5222,851.794,334.3339,-0.2338416,0.9642044,0.4917077,242.048,-778.1787,-663.7712,0.46290909999999996,-0.533407,0.8458238000000001
6.0,888.2789,389.0751,397.8619,0.1107872,-1.967369,0.2855591,254.6364,871.255,223.8371,0.6668014,-0.5650708999999999,0.808732,-486.2535,911.1141,173.6006,0.09347179,1.0745790000000002,-0.7954931,611.0173,778.2149,6.4536940000000005,-0.8973433000000001,-1.355589,-0.03596002,-300.9724,751.9518,330.2531,-0.1042877,0.6644916999999999,-0.16237390000000002,-756.5441,-570.3913,25.130470000000003,0.3937877,1.67693,0.04664923,-69.37246,619.371,-429.4752,0.5937891,0.1528165,0.18906420000000002,-890.4554,-798.4861,453.1062,0.1666781,1.973699,0.41599259999999993,-436.7618,852.7585,334.8254,-0.24541590000000002,0.9647338,0.4912968,242.5047,-778.7126,-662.925,0.45051450000000004,-0.5344173000000001,0.8466389000000001
7.0,888.3831,387.1078,398.1472,0.09760063,-1.967598,0.2850704,255.297,870.6892,224.6457,0.6543864,-0.5665326999999999,0.8084564999999999,-486.1658,912.1887,172.8049,0.08195877,1.074383,-0.7957058000000001,610.1136,776.8604,6.417733999999999,-0.9101952,-1.353588,-0.03596782,-301.0826,752.6164,330.0905,-0.11602660000000001,0.6647345,-0.1627794,-756.1559,-568.7146,25.17711,0.3826095,1.6760689999999998,0.04661845,-68.78468000000001,619.5232,-429.2858,0.5817696,0.151515,0.18959179999999998,-890.2942,-796.5123,453.522,0.1556635,1.97334,0.41543559999999996,-437.013,853.7236,335.3165,-0.2569898,0.9652886999999999,0.49088519999999997,242.949,-779.2474,-662.0779,0.4381195,-0.5354005000000001,0.8474528
8.0,888.4741,385.1404,398.432,0.08441402,-1.967797,0.2845812,255.9452,870.122,225.454,0.6419706999999999,-0.5679672,0.8081799,-486.0896,913.2631,172.0091,0.07044574,1.0742129999999999,-0.7959177,609.197,775.5079,6.381765000000001,-0.9230459000000001,-1.351558,-0.03597575,-301.2045,753.2813,329.9275,-0.1277653,0.6650031999999999,-0.163185,-755.7789,-567.0388,25.22371,0.371431,1.675232,0.04658743,-68.20891999999999,619.6741,-429.096,0.5697495,0.15023989999999998,0.190119,-890.144,-794.5389,453.9372,0.1446488,1.973005,0.41487799999999997,-437.2758,854.6892,335.8072,-0.2685633,0.9658689,0.49047290000000004,243.3809,-779.7833,-661.2301,0.425724,-0.5363564000000001,0.8482655000000001
9.0,888.552,383.1728,398.7163,0.0712274,-1.967968,0.2840915,256.5809,869.5533,226.262,0.6295543,-0.5693744000000001,0.8079022,-486.0249,914.3373,171.213,0.05893271,1.074068,-0.7961288000000001,608.2675,774.1575,6.345788,-0.9358955,-1.3495,-0.03598382,-301.3381,753.9465,329.7641,-0.1395037,0.6652978,-0.1635905,-755.413,-565.3638,25.27029,0.36025209999999996,1.67442,0.04655618,-67.64518000000001,619.8237,-428.9056,0.5577288,0.14899129999999997,0.19064579999999998,-890.0049,-792.5657,454.3518,0.1336341,1.972695,0.4143196,-437.5502,855.6555,336.2975,-0.2801364,0.9664746999999999,0.4900597,243.8004,-780.32,-660.3815,0.4133281,-0.537285,0.8490770000000001
